year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,uid
2018,virginia,peanuts,dry goods,nuts and seeds,24000.0,24000.0,22277000.0,50400.0,0.5,A6B102D6F5914DAC0CB711721653FC361DA6E495C6038AA8F17B89EE29187C6D8C214C78DD9B99409D2934F62708AADDEC14A8ECE562FF85FF13C02FF6242472
2018,california,olives,dry goods,"pickles, olives, and pickled vegetables",37500.0,37500.0,40523000.0,53600.0,0.5,44EFD8506CBA605D0E81068A86C6590A8F04A7416D38F517266E02AB1B72E2A12BEEF1B3966B055415B05DD8464741F47C73F5220BE6EC856AC6DC5695E62841
2018,california,apples,produce,apples,12400.0,12400.0,66047000.0,124000.0,0.5,0E4E021A8E64BFC81BD31B64E394AA2516A81E1CB8CCE904BEA56DB65DFC2521028A6F5AB40444431CA1027484F69BE37A11952E7839FA629E27B099DC5D97D9
2018,michigan,apples,produce,apples,32000.0,32000.0,285104000.0,517500.0,0.5,89F56D1838D7128BE4A38C4EB45D7692C87A3271FA400F343290D7463AD0511F34DE9D83650BE7AA73B493E7D39DDB2D88C4A0BA410B632F6FD88B771ABFD499
2018,new york,apples,produce,apples,42000.0,42000.0,262345000.0,697500.0,0.5,0BBE2C26E35336C013852A0314987D390E0F73EF15F9CA9A8407805DC29B60363B30E9F8C8C52E2349BCDF7F3912B734A8C36F0E4B6DF227C8C60AE1B07FD01E
2018,oregon,apples,produce,apples,5000.0,5000.0,55180000.0,85000.0,0.5,14E3204CB9CA9A46AFE25F37F4AF63ADEE8DB1DF090D12765DAA700C289C148D199D29EE8644FC33FBA321CDBA8E85D6D6A9A385310DAF8F3E2DBF60DD6409BF
2018,pennsylvania,apples,produce,apples,19500.0,19500.0,107637000.0,244000.0,0.5,6A811181762D4CD7B332F50F694034A6EF6A12C8DBB09623B68FE474F047167F85156E5396EBB2BA2A1714F42D022C98FAB076153FB2908CFB458A68A43E99C9
2018,virginia,apples,produce,apples,9700.0,9700.0,37256000.0,102000.0,0.5,DE364E66EF81499564207EDB9A6AEA2931FCE0146160CB508414C2B62CD152B2E44109EFA409C732289AE7C278CD46866879324747D1353D168DF3FEB10CF9C3
2018,washington,apples,produce,apples,170000.0,170000.0,2140650000.0,3350000.0,0.5,E7ED215650E0AAFDC97ED81DF4D316D34840044B9771DC2BE796637A4C05015C043EDF292223998838097331BC5C9F29536154251B741ACC6AE99EB79723C97C
2018,california,apricots,produce,apricots,9600.0,9600.0,38055000.0,31700.0,0.5,5DE9EE09A96E7C3F9A2C813C68A67A80DAEDE5FC2DCD147FDDC819BB5B7610EA19A40289CFF3859BF6FA3CA54DF88088E707B887B8C993FB08A4EC59F96918B2
2018,washington,apricots,produce,apricots,1000.0,1000.0,9414000.0,7850.0,0.5,693C292A03BEC6B6060DDC77DC9828F9A2911E789CF9C2EDFA7689B64A312FD96EA0AB69B08A9B1078D3AECAE8EBB620482950229292F793E0A18CBFF9BFDC11
2018,california,artichokes,produce,artichokes,6900.0,6900.0,63032000.0,50025.0,0.5,C28151D492253862FCC08716ABD967643180F5EF331CD7FEB72BD6EAC04C72A009BEF093F692B077BFC54C23372AE279F788ADB8282CA4CA36876E5DF33E0D93
2018,california,asparagus,produce,asparagus,6200.0,6000.0,26552000.0,9000.0,0.5,A4E00D7080B69AC6273D942CF86C1DD7248D55DA57A21AD062B122C5639E3D49FDA7B9F1A524920DC43F132DE08A8772E4B7C025D434A5E5EED8A86EB43AF5FC
2018,michigan,asparagus,produce,asparagus,10000.0,9500.0,23275000.0,13300.0,0.5,2B370EF75BC3150BEB9BB53285757B74E251A7680097832BE3F7E7A3D0C2C351B7AE7701C6FD6B23F748E33D23B9D392752D61CB65BD7B66BB74316BD13106BF
2018,new jersey,asparagus,produce,asparagus,2200.0,2100.0,11562000.0,3465.0,0.5,9EA0C3621CA44C5D3443AFED4C0237C2193227A6FFD6D79EF8BCDC2BD476BB65DDAD3FB0F64AE54700AF233812E67CFE46182100199DF2C1ED71B14C269B8FAE
2018,washington,asparagus,produce,asparagus,4500.0,4100.0,26195000.0,13325.0,0.5,6EFAE565A4E8313A3C02E2E67EC5D3DC00699CA66829713B45B4F3062DE738D51AA0A1884EEC51E86F60D96BFFEC313550EB2B5E9C27E21427A2CE8C22284C93
2018,california,avocados,produce,avocados,47000.0,47000.0,388170000.0,171000.0,0.5,B07EAE7191A543009992D23B5DBA22D5824F1BFCF124434296F93BE355403D82247614C5EB2A3BBAFCDBDE359CD9A4952E1A063FB895284A05965C596B849961
2018,florida,avocados,produce,avocados,5800.0,5800.0,15568000.0,13900.0,0.5,5780A76A319C8D184AD9841103306E2DAFFA95454A131575ED30BF30DA16A9F6CFA5FB28D208DD336450CD0B29A0128EB2DB1C25BB486DBBEF5503F4DB837CB9
2018,hawaii,avocados,produce,avocados,840.0,840.0,1774800.0,870.0,0.5,37C6A44586AE09E0623511E66F957950FF26177BADF870AB4207713B556986503DCB4D8BE806872280F81DCA9A2F1158D5356520F314CD730E2A60BD3D9C0607
2018,california,peppers,produce,bell peppers,13600.0,13500.0,210007000.0,303750.0,0.5,A2AAFA7DDAE08EA1D1ADAD971BCF3CDCC80240F7A359453FBE7A667DE33FDD847AA51CA16711D20576ECE6C8116047CE5C61FCF7785B04793F5CA0C6A48AFE7F
2018,florida,peppers,produce,bell peppers,12400.0,11900.0,180642000.0,178500.0,0.5,B84C8DBACACA65E0BCDD7E6448C89844AC9C5D2E3A0C4549D93C94E682517582A1363CF19A09BFB4A274031BFB3B4FD2C55640062FBE402E73608957A72ABDC5
2018,georgia,peppers,produce,bell peppers,3400.0,3200.0,40110000.0,42400.0,0.5,F1350E2DDBA1EE846A147B515C7706DD33EF2350C60E86243A8C2C85133EFAAE8DBD2C491C19C11F9BED098CD62CDD9D4C8938F1B6E85EB7958814F9B35B95B1
2018,michigan,peppers,produce,bell peppers,2100.0,2000.0,18220000.0,24000.0,0.5,896E13CBE824EED031999FD254487F7E086155658771337C43BF788B0CA28A1622B391BC016048078E34D98CCDC2237EA5E35F8D3454E4257BE25725CB770588
2018,new jersey,peppers,produce,bell peppers,3500.0,3400.0,39726000.0,46750.0,0.5,EE7881E5A244D12623574D162C532BBA2A52D93BE9114DC5B1EB98956AE5BA814D5F694669276ADE82DF36779EB84BFD973B80B9C0B010D879EBB330DA5EEC26
2018,new york,peppers,produce,bell peppers,1600.0,1400.0,8455000.0,7700.0,0.5,C3EDD4A39BEDE22CC47C632C9484946A0773EF7C052EA7051CE557F90D09DE9CC8DCA6C22750FD458CBA6641EC7A34526D4D0B8A345196F63069ECBB793C62C2
2018,north carolina,peppers,produce,bell peppers,2300.0,2000.0,15685000.0,20000.0,0.5,83421F416E660C42DD09C79AF7F272BF9D1F9D30634B19B4AB89E6E80FD0B99474886E4A2660E977A6C15E6B165380293F9D14DA6B0E86F41A2D7F19FFB83E14
2018,ohio,peppers,produce,bell peppers,1500.0,1400.0,12040000.0,14000.0,0.5,8EDA731CCE435A4059F2E46E64F7EF3C59166ACC8BD3532686075E3EF1DD33D9B15D51928D501F7C169715F36CD4E678D6530A2AB22CB43F9B0C3F490D6C2637
2018,pennsylvania,peppers,produce,bell peppers,1200.0,900.0,8422000.0,7650.0,0.5,CC5995037A54AC274888FB315F46FC1B15B9EF886A476D6A4F57120634DD0391A05EC851E875F42740E1679DEBB711C17D4F3E43CC8996C6775D56798C206246
2018,california,blueberries,produce,blueberries,6600.0,6600.0,139755000.0,32450.0,0.5,20286B9F03800472D65B9ECC7A973487396E64E668725EAD771B557D0CCFE24732BA06A23627757BC132585AEF676EDB44EDEAE7A16C86E96074148282CB2525
2018,florida,blueberries,produce,blueberries,5200.0,5200.0,60404000.0,10250.0,0.5,43A7ED37BDB89A1485707C7B7A7762B299B73D34A8409B1B1D615E92EB31423BBB6BD63AFF006A4EF09B28DC0081BEAA20EE49E8BB0E343B9A24F7FF4B63E992
2018,georgia,blueberries,produce,blueberries,13300.0,13300.0,87258000.0,27250.0,0.5,F6C001398B677EE77A42E32B2375E6C34F6D04EF98F6B2E744666FC616FF753C9928DD7147D988C05E42994685A907C74ADA6C1227DB17C0345417F45509C547
2018,maine,blueberries,produce,blueberries,18800.0,18800.0,23815000.0,25200.0,0.5,DDF9E65CBB729ECC04DEFD6571E00EA513AC43F2B56B5F53412DA86E825F092FE40AB91E654E9AC46F2E0884A663A1A3B6F28049DE4040BCABE534CD6ED3CCC0
2018,michigan,blueberries,produce,blueberries,19700.0,19700.0,70226000.0,35050.0,0.5,AFFCF12770B88D800BFF44F5DD1D0EA456458091658993364486FCAFF8E5AF53C93BFEB1578CB833B59B86B34CD1E55F006FB70EE8BCB94120A6C3C3E2FD8554
2018,new jersey,blueberries,produce,blueberries,9000.0,9000.0,62441000.0,22250.0,0.5,385F7CECEBBCF84E9F81281635D344AAFDEBC513C47B9727B1CE7108810164B63882EC848C175E6F5147999BAA85188715FBB565FC7044804BF339DFC2578324
2018,north carolina,blueberries,produce,blueberries,7500.0,7500.0,57304000.0,16900.0,0.5,D7BCE77309CF8583435729EC150334D1F8433C266C5EEA80767F3514F58DDEBB094248AF143A24E79C156F0C7DF7674C27CC59B3561BCF23D73EAD9E854029FC
2018,oregon,blueberries,produce,blueberries,13500.0,13500.0,180730000.0,68750.0,0.5,98F894AD816E4EB18D04D4052D809D4CD697F70D5688B2EA37DDDD20042C53BE7CD7C780F11041E77AC56B785E9B2AFEA98DD9D997F46EC969BDBE08BAD0D7AE
2018,washington,blueberries,produce,blueberries,14400.0,14400.0,139177000.0,68250.0,0.5,E468DC62B7890716F95F7FA7167F72B51F424DDAF1C56D9321A539B3D98AD63F22FF56574DA807C9FD18DD52473B1CD43DBA8E17E509785126D39456514327CF
2018,arizona,broccoli,produce,broccoli,10900.0,10900.0,59122000.0,65400.0,0.5,1F87A591A5696CB96201D8705712A8E5A2BCB9A3D685ED973B3DCE8ACDD3C2F0990981FF558F34C73174DBA96AB314011972231BA60607D4C64E4C5FDCEE8CC5
2018,california,broccoli,produce,broccoli,104000.0,103000.0,679405000.0,798250.0,0.5,361E5C8B47CD616E1FB9C497651C6D0341A924B36F50FAED65D48CE7DA5FE88776FF19587E5A81BAA6C2C3A745BCCA1240E8AC7F37549CE2569832D950E13E79
2018,arizona,cabbage,produce,cabbage,3300.0,3300.0,33495000.0,82500.0,0.5,B60ECDA27FC50E976276ECF397CD05E01C34DE9FA7FF92ECAEAF4143D910D843EEB61F27E000DBCB37F67239F3CF14F5A903620627A7223841B047AC2FF06036
2018,california,cabbage,produce,cabbage,14700.0,14200.0,181533000.0,241400.0,0.5,5F37BAE48FBE2C6D566894668504594177C3AB526261A85D851365ED5D9F3F40EF3327B6799DC7618D1DB45416BE6A1A5820DE01FCE1096B3E3BCB2CEE2737F9
2018,florida,cabbage,produce,cabbage,9300.0,8900.0,62806000.0,160200.0,0.5,F310EB3932CD69C3295D515818C53920CD83563469EF8C301403FED420F058DBDFAFEB4D490311B6D2A142AFBE99C25E3304561DF87A07DE418E1313F1F19990
2018,georgia,cabbage,produce,cabbage,4300.0,2900.0,14845000.0,58000.0,0.5,1FBEE40BDBEC33B2C3B4CD600620088DFCA705504A711BC3C8D2F4F9AEB9AFE9210C97461D46E84B8D663C3DD7BF13C4EF0A91B867741E581A5FD66D904AEE7F
2018,michigan,cabbage,produce,cabbage,3800.0,3700.0,14327000.0,64750.0,0.5,60FE42DCB594EA628BEAF61AB3E20B50F43CE14E93C6A74A43838075A6FC39F4EC4748EB5528CB76E47E52D2788D38850B4B966814C2BEB1FDCD32F8F3229E92
2018,new york,cabbage,produce,cabbage,11000.0,10100.0,52862000.0,196950.0,0.5,D82260D312F4978F958A1764BF35C8E20F9F4B2FBF7D36168A0E62C9C3F4FAD92547E5429BC8688CE85236F6907F82C3D02769C9D5119A567FD26B4E6F62DC54
2018,north carolina,cabbage,produce,cabbage,3000.0,2800.0,10120000.0,32200.0,0.5,387222D58E40213F4E895E013616AEDD0EBFCF9689FB5397FFFEC14D59FEF871AF3989393B508F09F900FEC4689432D06FAD7822E239F61F096FC91FC1350EAD
2018,texas,cabbage,produce,cabbage,5500.0,5000.0,27405000.0,67500.0,0.5,9513A5C77A9E72A269C4EC8F356BF73FDDC447768376E1AECBEE167EF2C2B19ECF9E9799D6E7F5DCC4A6BA46E00CBF32979E8EA95EB9D593AA000578317EB2F8
2018,wisconsin,cabbage,produce,cabbage,3400.0,3300.0,10698000.0,66825.0,0.5,1118DC8E45D39714F4CE4965B42FAF00FDE3C12906C7154B50A07FB1BA78686525662721963968CD3DACA610A16C0940ECCDA1BF24B1FF42E8BAEF5E8A49C0E3
2018,arizona,cantaloupe,produce,cantaloupe,16400.0,16300.0,86977000.0,187450.0,0.5,D9F814E5709C702953A89E01DB6F60A6B59E26AA8E24850E58F3976FD682EE64CCD488DBFD2AE7A992C3EE885F189A072A740EAC02D1055C83A45EFCA007DF36
2018,california,cantaloupe,produce,cantaloupe,32000.0,31500.0,187819000.0,417375.0,0.5,2FA1B244DABD848A17597CCB3B1419A2DB301AA6EFB0E6F03B8E92EDA6CA9592E616586DB0C12F4D3E3E08F8E1BE6EA60E7F03EF755796D6A2313E1833D5A297
2018,indiana,cantaloupe,produce,cantaloupe,1800.0,1700.0,8606000.0,19125.0,0.5,AAAD3F127D450347D25B33E2B6CF9CA684E5D5334FFCC7C5A72EB0EF3D3854119D5D3B4FEC295D2C909DB79CCF7D22316E78F69AC054C1F8CFAA5F500957C50E
2018,north carolina,cantaloupe,produce,cantaloupe,1300.0,1200.0,4544000.0,15300.0,0.5,4794A50AC0FE20EE95DCD86D8A51CF0AE31603E103A289F8424B781F6D1BCDF7AE1FE2B79219B4C84FAB658A1C47E1A0A489121F3A6961021E3D5922A8DB7672
2018,pennsylvania,cantaloupe,produce,cantaloupe,1000.0,900.0,4148000.0,5400.0,0.5,65B0502DF7641AB2A354E501C2F6439D02B7859E8669AC43FB1FE8632EAF02222C81A3B5865C28D2DCD00CFBFD2DCABA0462C91358F56643AAA6BF77CCF40F78
2018,texas,cantaloupe,produce,cantaloupe,2100.0,2000.0,5060000.0,11000.0,0.5,0435CD1F8E0FEDFBFA3DCA60812791B34FFCFC4415C6B308A87353976D5E4D9FFB15BC1507BC45DAB6DFF035ABF4090A862752746E4A691880CD168E9AC1581B
2018,california,carrots,produce,carrots,64800.0,64300.0,687631000.0,1929000.0,0.5,5304C72C0951DCA940B7B807F225CC15C2538A0284258DA32471C53DEC63BB241EE18183320ED59CD533B3ED94E09EA58BC71F534CC3358C61CE3123B422D529
