year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,uid,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2016,alabama,pecans,dry goods,nuts and seeds,8900.0,8900.0,4467000.0,1100.0,0.5,114D11AF85C5F71BA5F4200395075C725DF791EB68C6D0B0CA4E8F8803DC6D073430A7E3E590A3D7B511A8F07315AAA4F84CC69B1F2F9DA76A99BD3AB8B3556E,0.0,0.1235955056179775,4060.909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,alabama,peanuts,dry goods,nuts and seeds,175000.0,172000.0,121982000.0,309600.0,0.5,2F5D972CA3E3D1DE3929211C39EF55D71E895378180E1D2F7F18C9A002A43EBB2698294B41AE4F84BA315C56AA2E106A662BF464FC6198C55B4B988AE1655357,3000.0,1.8,393.9987080103359,2700.0,756.0000000000001,756.0000000000001,113.4,1.701,0.351,1072.548
2016,arizona,pecans,dry goods,nuts and seeds,15000.0,15000.0,67208000.0,12400.0,0.5,1167043B641F38317A6AAF4910F5641DB52D257582B8E34591D3782F79DAA839501C059F85858345E3FBF2A2B3D6BBB18387894743BA09732E4F55D4A012A952,0.0,0.8266666666666667,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,arkansas,peanuts,dry goods,nuts and seeds,24000.0,23000.0,20424000.0,55200.0,0.5,59B08A276DE56E1DE2EAF474E33A34566698C7DE8D7BBC003E249739FF617815C772D67C0ED0F1600D380F9DC0E150E613C7AE0FF63C06F22214DF49CC3E035B,1000.0,2.4,370.0,1200.0,336.00000000000006,336.00000000000006,50.400000000000006,0.756,0.156,476.688
2016,california,pecans,dry goods,nuts and seeds,3500.0,3500.0,14656000.0,2885.0,0.5,2C8CF0CEBDF0FE536818C44B0B7D9A5D7EEBF805A051E1CB517C0083EC90D566863EDEF21978B1C0397599034649C2FA807C2308600273BF939C371B53086CB4,0.0,0.8242857142857143,5080.069324090121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,california,walnuts,dry goods,nuts and seeds,315000.0,315000.0,1274650000.0,689000.0,0.5,B00A646112EA83525029919AC6DDFF357C45A32B41777F6413DE713A0AD192E8E1E4E4E68EF55D2E11D75CDE6EF7A2DFACD0946F080E4B47024565D54579BF0A,0.0,2.187301587301587,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,california,almonds,dry goods,nuts and seeds,970000.0,970000.0,5052460000.0,1070000.0,0.5,8F873D4D9C8B42F67BF1897ED36B45F191711798C7B84830F1E5B7CA353E4CD199FABA8299D4FB8BF33B566349ADE1423C34063C415F68D10E238D7D7B803AE2,0.0,1.1030927835051547,4721.92523364486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,california,pistachios,dry goods,nuts and seeds,239000.0,239000.0,1506120000.0,448250.0,0.5,10E1DD0BFEE4713CAF22830ECAE81BA05ED67990EF9EBDC0BE650FFD35B46BB05FADC08CB2BDB5B8C5CDD50829ECE06F719557997466E261475D840E7AB06C71,0.0,1.8755230125523008,3360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,florida,peanuts,dry goods,nuts and seeds,155000.0,146000.0,107076000.0,277400.0,0.5,A216355212B4D23F741A7280D7A22FE3C61978D949288CC04E0218EE29A330C5679301B75824BADE71B3BF8D844700EF93FF7B32BA585D39A0A4156FFCF7302B,9000.0,1.9,385.99855803893297,8550.0,2394.0000000000005,2394.0000000000005,359.1,5.3865,1.1115,3396.402
2016,georgia,pecans,dry goods,nuts and seeds,120000.0,120000.0,272500000.0,54500.0,0.5,2A30AD73628110AEB5AD7BAEB48B9BA32B7191E997A9DBE4B629883902B0B5D712FD9E93C74085086F8CB31749B7E4BB04A34AED0A831E55C8F5D75FD3D64B64,0.0,0.4541666666666666,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
