year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,uid,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2018,north carolina,peanuts,dry goods,nuts and seeds,102000.0,98000.0,87906000.0,189630.0,0.5,76431EF1F8866FB83F09955605A903D277E26C6F0453F8B5CE4D5F42B6D2C6918FC235B00160457A8F2E96567B8C64AC015A4E232D66D23FE521F1112CF8EE70,4000.0,1.935,463.5658914728682,3870.0,1083.6000000000001,1083.6000000000001,162.54000000000002,2.4381,0.5031,1537.3188
2018,oklahoma,pecans,dry goods,nuts and seeds,90000.0,90000.0,14884000.0,4500.0,0.5,32E5FB69CED44CCDD576C5DA79D4F7A2E946D25194B605C47CFD2242A013A5666DBFFB4D76E1E8079C179B6396406F0B7D6844B36D414BAB16C32F35A50072DF,0.0,0.05,3307.5555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,oklahoma,peanuts,dry goods,nuts and seeds,16000.0,15000.0,10881000.0,23025.0,0.5,0ACF2E6FAED0B6BAD3A344C7F4215D96B41D8379D5DD7DC5487E7D92194D9382CD6EACE6D804066630D73E564F53B30FF7506F23BC189FEC4935065402A93C50,1000.0,1.535,472.5732899022801,767.5,214.90000000000003,214.90000000000003,32.235,0.48352500000000004,0.09977499999999999,304.88169999999997
2018,oregon,hazelnuts,dry goods,nuts and seeds,44000.0,44000.0,91800000.0,52000.0,0.5,CA508340A462E0F2C4C6DC67B740BF678B0CFF4C57296CCB2C6A1EF9BA359720F34D4638DECA3D640D883F2BA8BE48D97A3AEEB4D333F1972A89CE9E860D7E7C,0.0,1.1818181818181819,1765.3846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,south carolina,peanuts,dry goods,nuts and seeds,87000.0,80000.0,59384000.0,136000.0,0.5,DDA0BEF4B70CC7B2F6301B0E321E1CC347586924382393CCD39206669A326502F44B652DBC8E89AFD977D566929BDF63F419C0D00854DEED39A395E1FA611C7B,7000.0,1.7,436.6470588235294,5950.0,1666.0000000000002,1666.0000000000002,249.9,3.7485,0.7735,2363.578
2018,texas,pecans,dry goods,nuts and seeds,112000.0,112000.0,56064000.0,16800.0,0.5,74574D53F761487CC9BBEA7D68126BC46A8D9037D2B6F11C05F63F2B733F5EEA5BFBBDBFFB10D49816217328CF01372E65D51C081544342004609F89C262F144,0.0,0.15,3337.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,texas,peanuts,dry goods,nuts and seeds,155000.0,145000.0,131588000.0,232000.0,0.5,E5DAEC274486CBF08CBCB10BA527A3C58E98CEAAD48F26CD649630605C59535A97944ADC84F65AC3F854C2788A4A0E988A73C4132FEFC932C602EF6E16B6463C,10000.0,1.6,567.1896551724138,8000.0,2240.0,2240.0,336.0,5.04,1.0399999999999998,3177.92
2018,virginia,peanuts,dry goods,nuts and seeds,24000.0,24000.0,22277000.0,50400.0,0.5,A6B102D6F5914DAC0CB711721653FC361DA6E495C6038AA8F17B89EE29187C6D8C214C78DD9B99409D2934F62708AADDEC14A8ECE562FF85FF13C02FF6242472,0.0,2.1,442.00396825396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,california,olives,dry goods,"pickles, olives, and pickled vegetables",37500.0,37500.0,40523000.0,53600.0,0.5,44EFD8506CBA605D0E81068A86C6590A8F04A7416D38F517266E02AB1B72E2A12BEEF1B3966B055415B05DD8464741F47C73F5220BE6EC856AC6DC5695E62841,0.0,1.4293333333333333,756.026119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,california,apples,produce,apples,12400.0,12400.0,66047000.0,124000.0,0.5,0E4E021A8E64BFC81BD31B64E394AA2516A81E1CB8CCE904BEA56DB65DFC2521028A6F5AB40444431CA1027484F69BE37A11952E7839FA629E27B099DC5D97D9,0.0,10.0,532.6370967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,michigan,apples,produce,apples,32000.0,32000.0,285104000.0,517500.0,0.5,89F56D1838D7128BE4A38C4EB45D7692C87A3271FA400F343290D7463AD0511F34DE9D83650BE7AA73B493E7D39DDB2D88C4A0BA410B632F6FD88B771ABFD499,0.0,16.171875,550.9256038647343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,new york,apples,produce,apples,42000.0,42000.0,262345000.0,697500.0,0.5,0BBE2C26E35336C013852A0314987D390E0F73EF15F9CA9A8407805DC29B60363B30E9F8C8C52E2349BCDF7F3912B734A8C36F0E4B6DF227C8C60AE1B07FD01E,0.0,16.607142857142858,376.1218637992832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,oregon,apples,produce,apples,5000.0,5000.0,55180000.0,85000.0,0.5,14E3204CB9CA9A46AFE25F37F4AF63ADEE8DB1DF090D12765DAA700C289C148D199D29EE8644FC33FBA321CDBA8E85D6D6A9A385310DAF8F3E2DBF60DD6409BF,0.0,17.0,649.1764705882352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,pennsylvania,apples,produce,apples,19500.0,19500.0,107637000.0,244000.0,0.5,6A811181762D4CD7B332F50F694034A6EF6A12C8DBB09623B68FE474F047167F85156E5396EBB2BA2A1714F42D022C98FAB076153FB2908CFB458A68A43E99C9,0.0,12.512820512820513,441.13524590163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,virginia,apples,produce,apples,9700.0,9700.0,37256000.0,102000.0,0.5,DE364E66EF81499564207EDB9A6AEA2931FCE0146160CB508414C2B62CD152B2E44109EFA409C732289AE7C278CD46866879324747D1353D168DF3FEB10CF9C3,0.0,10.515463917525773,365.2549019607843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,washington,apples,produce,apples,170000.0,170000.0,2140650000.0,3350000.0,0.5,E7ED215650E0AAFDC97ED81DF4D316D34840044B9771DC2BE796637A4C05015C043EDF292223998838097331BC5C9F29536154251B741ACC6AE99EB79723C97C,0.0,19.705882352941178,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,california,apricots,produce,apricots,9600.0,9600.0,38055000.0,31700.0,0.5,5DE9EE09A96E7C3F9A2C813C68A67A80DAEDE5FC2DCD147FDDC819BB5B7610EA19A40289CFF3859BF6FA3CA54DF88088E707B887B8C993FB08A4EC59F96918B2,0.0,3.3020833333333335,1200.4731861198738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,washington,apricots,produce,apricots,1000.0,1000.0,9414000.0,7850.0,0.5,693C292A03BEC6B6060DDC77DC9828F9A2911E789CF9C2EDFA7689B64A312FD96EA0AB69B08A9B1078D3AECAE8EBB620482950229292F793E0A18CBFF9BFDC11,0.0,7.85,1199.2356687898089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,california,artichokes,produce,artichokes,6900.0,6900.0,63032000.0,50025.0,0.5,C28151D492253862FCC08716ABD967643180F5EF331CD7FEB72BD6EAC04C72A009BEF093F692B077BFC54C23372AE279F788ADB8282CA4CA36876E5DF33E0D93,0.0,7.25,1260.0099950024987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,california,asparagus,produce,asparagus,6200.0,6000.0,26552000.0,9000.0,0.5,A4E00D7080B69AC6273D942CF86C1DD7248D55DA57A21AD062B122C5639E3D49FDA7B9F1A524920DC43F132DE08A8772E4B7C025D434A5E5EED8A86EB43AF5FC,200.0,1.5,2950.222222222222,150.0,42.00000000000001,42.00000000000001,6.300000000000001,0.0945,0.0195,59.586
2018,michigan,asparagus,produce,asparagus,10000.0,9500.0,23275000.0,13300.0,0.5,2B370EF75BC3150BEB9BB53285757B74E251A7680097832BE3F7E7A3D0C2C351B7AE7701C6FD6B23F748E33D23B9D392752D61CB65BD7B66BB74316BD13106BF,500.0,1.4,1750.0,350.0,98.00000000000001,98.00000000000001,14.700000000000001,0.2205,0.0455,139.034
2018,new jersey,asparagus,produce,asparagus,2200.0,2100.0,11562000.0,3465.0,0.5,9EA0C3621CA44C5D3443AFED4C0237C2193227A6FFD6D79EF8BCDC2BD476BB65DDAD3FB0F64AE54700AF233812E67CFE46182100199DF2C1ED71B14C269B8FAE,100.0,1.65,3336.7965367965367,82.5,23.1,23.1,3.4650000000000003,0.051975,0.010724999999999998,32.7723
2018,washington,asparagus,produce,asparagus,4500.0,4100.0,26195000.0,13325.0,0.5,6EFAE565A4E8313A3C02E2E67EC5D3DC00699CA66829713B45B4F3062DE738D51AA0A1884EEC51E86F60D96BFFEC313550EB2B5E9C27E21427A2CE8C22284C93,400.0,3.25,1965.8536585365853,650.0,182.00000000000003,182.00000000000003,27.3,0.40950000000000003,0.08449999999999999,258.20599999999996
2018,california,avocados,produce,avocados,47000.0,47000.0,388170000.0,171000.0,0.5,B07EAE7191A543009992D23B5DBA22D5824F1BFCF124434296F93BE355403D82247614C5EB2A3BBAFCDBDE359CD9A4952E1A063FB895284A05965C596B849961,0.0,3.6382978723404253,2270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
